,name,price,type,제품명,"수입품의 경우 생산자, 수입자 및 제조국",식품의 유형,제조업소의 명칭과 소재지,"제조연월일(포장일 또는 생산연도), 유통기한 ","포장단위별 내용물의 용량(중량), 수량",원재료명 및 함량,영양성분,유전자 변형 식품의 경우 표시,소비자 안전을 위한 주의사항,수입식품인 경우 “수입식품안전관리특별법에 따른 수입신고를 필함”의 문구,소비자 상담 관련 전화번호,품명 및 모델명,의료기기법상 허가 신고 번호 및 광고사전심의필 유무,정격전압/소비전력,출시년월,제조사,제조국,제품의 사용목적 및 사용방법,취급시 주의사항,품질보증기준,A/S 책임자,품목 또는 명칭,"포장단위별 내용물의 용량(중량), 수량, 크기",생산자,농수산물의 원산지 표시에 관한 법률에 따른 원산지,"제조연월일(포장일 또는 생산연도), 유통기한",관련법상 표시사항,상품구성,보관방법 또는 취급방법,기능정보,"섭취량, 섭취방법, 섭취시 주의사항 및 부작용 발생 가능성",영양정보,질병의 예방 및 치료를 위한 의약품이 아니라는 내용의 표현,KC 인증 필 유무,에너지소비효율등급,크기,발행자,유효기간,교환권 공급자,이용조건,이용 가능 매장,환불조건 및 방법,소비자상담 관련 전화번호,"크기,무게",주요 사양,"법에 의한 인증, 허가 등을 받았음을 확인할 수 있는 경우 그에 대한 사항",A/S 책임자와 전화번호 또는 소비자상담 관련 전화번호,용량 또는 중량,제품 주요 사양,사용기한 또는 개봉 후 사용기간,사용방법,화장품제조업자 및 화장품책임판매업자,화장품법에 따라 기재·표시하여야 하는 모든 성분,기능성 화장품의 경우 화장품법에 따른 식품의약품안전처 심사필 유무,사용할 때 주의사항,소비자상담관련 전화번호,제품 소재,색상,치수,품목 및 제품명,용도 및 제형,제조연월 및 유통기한,"중량, 용량, 매수","효과,효능",제조국 및 제조사,어린이 보호포장 대상 제품 유무,제품에 사용된 화학물질 명칭,사용상 주의사항,신고번호 또는 승인번호,품명,구성품,주요 소재,배송 설치 비용,제품구성,세탁방법/취급시 주의사항,서비스 제공 사업자,"취소, 중도해약, 해지 조건 및 환불기준","취소, 환불방법",재질,수입식품안전관리특별법에 따른 수입신고,종류,소재,이동통신 가입조건,도서명,저자,출판사,쪽수,출간일,목차 또는 책소개
82,"""마음담은 한끼"" ""끼니는 챙겨먹어"" 피코크 1주일 집밥선물세트","26,900원",health,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,"지속적인 생산으로 정확한 제조일자 기입이 어렵습니다. 순차출고되오니, 관련 문의는 02-3397-6250 으로 문의부탁드립니다. 유통기한: 제품 전면 표기일까지",쟌슨빌부대찌개 1팩+육개장 1팩+순두부찌개 1팩+참치김치찌개 1팩+차돌된장찌개 1팩+소고기미역국 1팩+소고기무국 1팩 (총 7팩),상품상세설명 참조,해당사항 없음,해당사항 없음,냉장 보관,해당사항 없음,신세계푸드 고객상담센터 02)3397-6250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"""사계절의 신선함을 담은"" 포시즌 하루견과 60입 선물세트","27,900원",health,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,본 상품은 수시 생산(소분) 되는 상품으로 정확한 제조연월일을 제공하기가 어렵습니다. 자세한 사항은 고객센터(070-4610-4233)로 문의주시기 바랍니다.,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,070-4610-4233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"""남성용 멀티비타민"" 네이처메이드 종합비타민 포맨 (맨 남자 종합영양제 수능 환절기)[수험생 합격 건강 선물]","29,800원",health,상품상세설명 참조,,건강기능식품,"※ 수입 판매원 : 한국오츠카제약㈜ 경기도 화성시 향남읍 제약공단 3길 27 ※ 원산지(수출국) 및 제조원 : 미국, PHARMAVITE LLC.",,"108.72 g, 120정","탄산칼슘, 산화마그네슘, 비타민C, dl-a-토코페릴아세테이트,염화크롬, 몰리브덴산나트륨, 니코틴산아미드, 산화아연, 비타민D3, 황산망간, 판토텐산칼슘, 비타민K1, 셀렌산나트륨, 비타민B6염산염,베타카로틴 [젤라틴(돈피)], 황산동, 엽산, 분말비타민A, 비오틴, 비타민B1질산염, 요오드칼륨, 비타민B2, 비타민B12, 결정셀룰로스, 한천, 글리세린지방산에스테르, 이산화규소(고결방지제) [코팅] 히드록시프로필메틸셀룰로스, 폴리에틸렌글리콜, 돼지고기 함유",,행당사항없음,상품상세설명 참조,건강기능식품에 관한 법률에 따른 수입신고를 필함,080-020-0087,,,,,,,,,,,,,,,"수시로 생산 및 입고, 출고가 되기 때문에 제조일자를 표기하기 어렵습니다. 수령일 기준 50% 이내 제조(생산)된 제품이 배송됩니다. 고객센터: 080-020-0087로 연락주시면 자세한 안내가 가능합니다./유통기한: 제품 케이스 하단 또는 제품 옆면 별도 표시, 유통기한 제품표시 기간까지",,,,"[비타민A] 어두운 곳에서 시각 적응을 위해 필요. 피부와 점막을 형성하고 기능을 유지하는데 필요. 상피세포의 성장과 발달에 필요.  [비타민C] 결합조직 형성과 기능유지에 필요. 철의 흡수에 필요. 유해산소로부터 세포를 보호하는데 필요  [비타민D] 칼슘과 인이 흡수되고 이용되는데 필요. 뼈의 형성과 유지에 필요. 골다공증발생 위험 감소에 도움을 줌  [비타민E, 셀렌] 유해산소로부터 세포를 보호하는데 필요  [비타민K] 정상적인 혈액응고에 필요. 뼈의 구성에 필요  [비타민B1] 탄수화물과 에너지 대사에 필요  [비타민B2, 나이아신] 체내 에너지 생성에 필요  [비타민B6] 단백질 및 아미노산 이용에 필요. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요  [판토텐산, 비오틴] 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요  [비타민B12] 정상적인 엽산 대사에 필요  [엽산] 세포와 혈액생성에 필요. 태아 신경관의 정상 발달에 필요. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요  [칼슘] 뼈와 치아 형성에 필요. 신경과 근육 기능 유지에 필요. 정상적인 혈액응고에 필요. 골다공증발생 위험 감소에 도움을 줌  [구리] 철의 운반과 이용에 필요. 유해산사로부터 세포를 보호하는데 필요  [요오드] 갑상선 호르몬의 합성에 필요. 에너지 생성에 필요. 신경발달에 필요  [마그네슘] 에너지 이용에 필요. 신경과 근육 기능 유지에 필요  [망간] 뼈의 형성에 필요. 에너지 이용에 필요. 유해산소로부터 세포를 보호하는데 필요  [몰리브덴] 산화ㆍ환원 효소의 활성에 필요  [아연] 정상적인 면역기능에 필요. 정상적인 세포분열에 필요",1일 1회 2정을 물과 함께 섭취하십시오.  1) 다음 분들은 섭취 전 의사와 상의 하십시오   임신/수유 중이신 분 의약품 복용 중이신 분 질병이 있거나 신장 질환이 있으신 분  2) 특정 성분에 알레르기가 있는 분은 섭취 전 반드시 원료를 확인하십시오.  3) 본 제품의 방습제(습기방지제)는 드시지 마십시오.,"%영양성분 기준치 :1일 영양성분 기준치에 대한 비율 열량 0kcal, 탄수화물1g 미만 (0%),단백질 0g(0%),지방 0g(0%),나트륨 0mg(0%),비타민A 750㎍RE (107%)(베타카로틴 포함)(2,500 IU),비타민C 180mg(180%),비타민D 25㎍(1,000 IU)(250%),비타민E 25mg α-TE(50 IU)(227%),비타민K 80㎍(114%),비타민B1 1.5mg(125%),비타민B2 1.7mg(121%),나이아신 20mgNE(133%),비타민B6 4mg(267%),엽산 400㎍(100%),비타민B12 9㎍(375%), 비오틴 30㎍(100%),판토텐산10mg(200%),칼슘 270mg(39%),크롬 120㎍(400%),구리 2mg(250%),요오드150㎍(100%),마그네슘 120mg(38%),망간 4mg(133%),몰리브덴 75㎍(300%),셀렌 70㎍(127%),아연 15mg(176%)",의약품 아님,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,[경복궁] 한우곰탕 보양세트 (한우사골고기곰탕2팩+사골고기도가니탕2팩+한우사골곰탕2팩),"60,000원",health,상품상세설명 참조,해당사항 없음,식육추출가공품/비살균제품,㈜비전푸드,제조일로부터 12개월,상품상세설명 참조,해당사항 없음,해당사항 없음,해당사항 없음,제조일로부터 12개월,해당사항 없음,1644-8647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"""너무 시원한 건"" [누적판매 47만개] 오엘라 초소형 무선 마사지건 SMG ""구매전원 사은품증정""","32,900원",health,,,,,,,,,,,,,무선 소형 마사지건 / SMG,,"5Vdc,1A",2021.10,앱코,중국,,,상세페이지참조,jbk코리아 / 02-1833-7701,,,,,,,,,,,,,한국화학융합시험연구원(KTR) - YU10801-19001 / 국립전파연구원 R-R-ABS-OH-SMG,,,,,,,,,,197*180*60mm / 380g,다용도 마사자기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"""감사한 마음담아"" 술래양념구이 선물세트 2호 (800g*2팩)","89,900원",health,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,해당없음,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,프리미엄 고당도 머스크메론 2수 과일선물세트 (총 4kg/1수 2kg),"27,900원",health,,,,,,,,,,신선식품 특성상 빠른 섭취 부탁드립니다.,,010-9188-1699,,,,,,,,,,,머스크메론 2입,"2kgX2입, 총 4kg",애플리아,국내산,상시 수확 중,해당사항없음,"머스크메론 2kg*2입, 총 4kg",냉장보관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"""작은 습관의 힘""한미 6년근 매일먹는 홍삼정스틱 30포+힘내장 유산균(30포)증정","24,900원",health,상품상세설명 참조,해당없음,상품상세설명 참조,상품상세설명 참조,수시로입고됩니다. 문의주시길 바랍니다. 유통기한 : 제조일로부터 2년,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,해당없음,상품상세설명 참조,해당없음,070-8972-5322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,[눈편한세상] [건강선물 추천] 선물 만족도 94% 오아 눈 안마기 무선 공기압 마사지기 M0052,"32,900원",health,,,,,,,,,,,,,상세페이지참조,,상세페이지참조,상세페이지참조,상세페이지참조,상품상세설명 참조,,,상세페이지참조,상세페이지참조,,,,,,,,,,,,,R-R-K2c-OA-MA034 / YU10770-18001C,,,,,,,,,,상세페이지참조,상세페이지참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"항공직송으로 더 신선한, 고당도 프리미엄 애플망고 2.3kg이상(5-6입)","49,800원",health,,,,,,,,,,상품 수령시 파손된 부분은 섭취하지 마시고 고객센터(02-6925-2311)로 연락 부탁드립니다,,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,"자레, PSK, 원월드, 글로벌, 수일통상, Dole 코리아 외",상품상세설명 참조,포장 전 2일 이내 통관 상품,수입식품안전관리특별법에 따른 수입신고를 필함,상품상세설명 참조,신선식품으로 수령 후 냉장보관 부탁드립니다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"""맛있는 면역선물"" 캐나다 허벌랜드 면역부스트 식물성 구미젤리비타민/ 30일분","16,900원",health,면역 부스트 구미,,"건강기능식품(아연, 비타민D3, 비타민C 보충용)","수입원: (주)헬스앤뉴트리션/ 경기도 성남시 분당구 판교역로 240, 410-3 제조자 제조원: HerbaLand Naturals Inc., Richmond, BC, Canada  제조국: 캐나다",,"66g(2.2g x 30 구미), 1개","글루콘산아연, 비타민 C, 비타민 D3, 이소말토올리고당, 정제수, 에리스리톨, 자일리톨, 펙틴, 천연향료(스트로베리), 블랙엘더베리추출물, 구연산삼나트륨, 해바라기씨유, 블랙당근농축액, 스테비아잎 추출물, 혼합과일분말(스트로베리, 라즈베리, 블루베리, 체리, 석류, 크랜베리, 오렌지, 레몬)",,해당 없음,"특정성분에 알레르기가 있는 분은 원료명을 확인하신 후 섭취하십시오.  고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담하십시오. 이상사례 발생시 섭취를 중단하고 전문가와 상담하십시오. 섭취량 및 섭취방법을 확인하시고, 과량 섭취하지 않도록 주의하십시오.",수입식품안전관리특별법에 따른 수입신고를 필함.,1666-6768,,,,,,,,,,,,,,,"상시 제조 상품, 유통기한: 제조일로부터 30개월까지",,,,[아연] 정상적인 면역기능에 필요 [비타민C] 결합조직형성과 기능유지에 필요. 황산화작용을 하여 유해산소로부터 세포를 보호하는데 필요 [비타민D] 칼슘과 인이 흡수되고 이용되는데 필요. 뼈의 형성과 유지에 필요,[섭취량 및 섭취방법] 1일 1회 1개를 씹어서 섭취하십시오. [보관방법] 건조하고 서늘한 곳에 보관하십시오.  부작용 발생 가능성 여부: 과다섭취 시 부작용이 나타날 수 있습니다.,"1일 섭취량: 1개(2.2 g)  총 30일 분량 1일 섭취량 당 함량: 열량 5kcal, 탄수화물 1.5 g(0%), 당류 1 g(1%)  [기능성분] 비타민 C 80 mg(80%), 비타민 D 12.5㎍(125%), 아연 4.3 mg(51%)  ※ ( )안의 수치는 1일 영양성분 기준치에 대한 비율임.",본 제품은 질병의 예방 및 치료를 위한 의약품이 아닙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,[경복궁] 마음을 전하는 선물세트 (한우불고기+궁중본갈비+궁중소갈비찜+양념불고기),"109,000원",health,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,제조일로 부터 12개월,상품상세설명 참조,상품 설명 참고,해당사항 없음,해당사항 없음,상품상세설명 참조,해당사항 없음,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"""뼛속까지생각하는선물"" GNM 칼슘 마그네슘 아연 비타민D 망간 뼈건강 선물세트 (3개입/총9개월분)","32,900원",health,상품상세설명 참조,,상품상세설명 참조,극동에치팜㈜ / 충청남도 예산군 오가면 월곡1길 117,,"1,350 mg × 90정 × 3개입",상품상세설명 참조,,해당사항 없음,상품상세설명 참조,해당사항 없음,자연의품격 1600-8741,,,,,,,,,,,,,,,"입고시마다 제조일자가 달라, 표기가 어려운 점 양해부탁드립니다. 자연의품격 고객센터 1600-8741로 연락주시면 안내해드리겠습니다., 제조일로부터 2년",,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,본 제품은 질병의 예방 및 치료를 위한 의약품이 아닌 건강기능식품 입니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"""피부에 남는선물🎁"" [후기이벤트] 에버콜라겐 타임비오틴 업 30포 / 카카오 단독 선물세트","32,900원",health,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,해당사항 없음,상품상세설명 참조,해당사항 없음,상품상세설명 참조,,,,,,,,,,,,,,,제조연월 2022-01-08 / 제조일로부터 24개월,,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,질병의 예방 및 치료를 위한 의약품이 아닙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,[에코백 & 선물포장] 영양제 3종으로'하루 종일 생생하게' HNB 데일리 루틴 선물set,"39,000원",health,상품상세설명 참조,,건강기능식품,Holland&amp;Barret Retail Ltd,,상품상세설명 참조,상품상세설명 참조,,해당사항없음,"1. 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것, 2.흡연자는 섭취 시 전문가와 상담할 것, 3.당뇨병이 있는 경우 섭취 전 전문가와 상담할 것, 4.특히 6세이하는 과량 섭취하지 않도록 주의할 것, 5.이상사계 발생 시 섭취를 중단하고 전문가와 상담할 것,6.특정 원료에 알레르기가 있는 분은 원료를 확인하신 후 섭취할 것",수입식품안전관리특별법에 따른 수입신고를 필함.,031-712-1186,,,,,,,,,,,,,,,"제품개별표시, 제조일로부터 3년",,,,상품상세설명 참조,1일 1회 1정을 물과함께 드십시오,상품상세설명 참조,본 제품은 질병의 예방 및 치료를 위한 의약품이 아닙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"""RU OK?👌🏻"" RU21 비타민C 6정 x 4개 선물세트 / 데일리비타민도 OK! 숙취에도 OK!","24,000원",health,RU21비타민C,,건강기능식품,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,해당사항 없음,상품상세설명 참조,수입식품 안전관리특별법에 따른 수입신고의 필함,상품상세설명 참조,,,,,,,,,,,,,,,정확한 제조연월일을 확인하시려면 고객센터(070-8972-5322)로 문의하시기 바랍니다. 유통기한 : 제조일로부터 24개월,,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,이 제품은 질병의 예방 및 치료를 위한 의약품이 아닙니다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"""말대신 센스있는 선물"" 츄어블 멀티비타민 포맨/포우먼 (총 4개월분)","20,000원",health,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,"유통기한 맨 2024-01-25, 우먼 2023-06-28",,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"""비타민선물🎁"" 고려은단 멀티비타민 올인원 종합비타민 60캡슐(2개월)","24,900원",health,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,해당사항 없음,질병의 예방 및 치료를 위한 의약품이 아닙니다.,해당사항 없음,1644-9950,,,,,,,,,,,,,,,제조일자: 수시 생산 제품으로 출고되는 제품에 따라 상이할 수 있습니다.1644-9950 으로 연락주시면 자세한 안내가 가능합니다.  / 유통기한: 제조일로부터 24개월,,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,질병의 예방 및 치료를 위한 의약품이 아닙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"""선물 만족도 92%"" 건강선물 오아 바디스팟W EMS+손목보호대 미니 저주파마사지기","29,900원",health,,,,,,,,,,,,,오아 바디스팟W 손목 마사지기 OA-MA018,,"DC 5V,1.0A 2.5W",2021.09,오아 주식회사,중국,,,소비자분쟁해결기준(공정거래위원회 고시) 및 관계법령에 따릅니다.,오아고객센터: 1661-4555,,,,,,,,,,,,,"XU100701-16002A , R-R-K2c-OA-MA018",,,,,,,,,,"메인기기 44.3X44.3X10.6(mm), 손목스트랩 260X104X5(mm) 메인기기 14g, 손목스트랩 39g",상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"""간 건강엔 밀크씨슬"" [특별구성] GNC 밀크씨슬 (60캡슐) +필케이스 증정","19,900원",health,GNC 밀크씨슬 (600mg 60캡슐 30일분),,건강기능식품,코스맥스바이오㈜ / 충청북도 제천시 바이오밸리 3로 30,,36mg (600mg x 60캡슐),"밀크씨슬추출물(프랑스산), 대두유(외국산 : 아르헨티나, 미국, 브라질 등), 밀납, 다두레시틴 [캡슐기제] 젤라틴, 글리세린, 카라멜색소혼합제제(카라멜색소, 덱스트린)",,해당사항 없음,"보관 시 주의사항 : 성상변화가 우려 되오니 고온다습한 곳은 피하여 보관하십시오. 섭취 시 주의사항 : 원료를 확인하시고, 섭취 전에 전문가와 상담하시기 바랍니다. [밀크씨슬추출물]① 알레르기 반응이 나타나는 경우에는 섭취를 중단하십시오. ②설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우 섭취에 주의하십시오. 제품의 품질유지를 위해 동봉된 강력방습제인 실리카겔(SILIICA GEL)은 식용이 아니므로 절대 먹지 마십시오. 제품은 알레르기 발생 가능성이 있는 알류(가금류), 우유, 메밀, 밀, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고기, 쇠고기, 오징어, 조개류(굴, 전복, 홍합 포함), 아황산류, 잣을 사용한 제품과 같은 제조 시설에서 제조하고 있습니다.",해당사항 없음,080-700-0277,,,,,,,,,,,,,,,"수시로 생산 및 입고, 출고가 되기 때문에 제조일자를 표기하기 어렵습니다. 수령일 기준 50% 이내 제조(생산)된 제품이 배송됩니다. 물류고객센터: 02-486-7731 로 연락주시면 자세한 안내가 가능합니다./유통기한: 제품 케이스 하단 또는 제품 옆면 별도 표시, 유통기한 제품표시 기간까지",,,,밀크씨슬 추출물 : 간 건강에 도움을 줄 수 있음,"1일 1회, 1회 2캡슐을 물과 함께 섭취하십시오.","1일 섭취량 당 함량 : 열량 10kcal, 지방 1g(2%), 실리마린 130mg ※ ( ) 안의 수치는 1일 영양성분 기준치에 대한 비율임.",본 제품은 질병의 예방 및 치료를 위한 의약품이 아닙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"""커피로는 부족할 때"" [온누리약국개발] 액상으로 흡수빠른 고함량 듀얼비타민 프레스샷 15ml x 10개입","29,900원",health,프레스샷,,상품상세설명 참조,고려제약(주) / 경기도 이천시 신둔면 원적로 69-10,,150ml (15ml x 10개입),"비타민E혼합제제분말(DL-ALPHA 토코페릴아세테이트, 말토덱스트혼합제제, 변성전분, 이산화규소), 글루콘산아연, 비타민D3혼합제제분말(아라비아검, 자당지방에스테르, 옥수수전분, PALM MCT OIL, 이산화규소, 비타민D3, DL알파토코페롤혼합제제), 니코틴산아미드, 비타민B12, 엽산, 정제수, 설탕, 에리스리톨, L-아르지닌, 구연산삼나트륨, 구연산, L-라이신염산염, 만니톨, 글루콘산마그네슘, L-로이신, 소브산칼륨(보존료), 포도에센스, L-메티오닌, 글리신, L-글루타민, 테아닌, L-이소로이신, L-발린, L-트레오닌, L-페닐알라닌, 수크랄로스(감미료), 스테아린산마그네슘, 이산화규소, 황산망간",,해당사항 없음,고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담하십시오. 이상사례 발생 시 섭취를 중단하고 전문가와 상담하십시오.,해당사항 없음,1833-3128,,,,,,,,,,,,,,,제조일로부터 2년,,,,상품상세설명 참조,"고칼슙혈증이 있거나 의약품 복용 시 전문가와 상담하십시오. 이상사례 발생 시 섭취를 중단하고 전문가와 상담하십시오. 임산부, 수유부는 전문가와 상담 후 섭취를 권장합니다. 1일 1병을 식사와 관계 없이 상부캡을 눌러 분말과 액상을 혼합하여 음용하여 주시기 바랍니다. 직사광선 및 고온 다습한 곳을 피하여 보관하십시오. 이 제품은 알레르기 발생 가능성이 있는 알류(가금류), 메밀, 땅콩, 대두, 밀, 고등어, 게, 새우, 돼지고기, 복숭아, 토마토, 아황산류, 호두, 닭고기, 쇠고기, 오징어, 조개류(굴, 전복, 홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","1일 섭취량: 1병(15ml) 1일 섭취량 당 / 열량 10kcal 1일섭취량 당 / 탄수화물 2g 1.0% 당류 1g 1.0% 단백질 1g 2.0% 지방 0g 0.0% 비타민B12 400㎍ 16,667% 엽산 260㎍ 65% 비타민D 25㎍(1,000IU) 250%  나트륨 55mg 3.0% 비타민E 4.55mg 41% 나이아신 6.5mg 43% 아연 2.87mg 34%",질병의 예방 및 치료를 위한 의약품이 아닙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"""The1st 콜라겐"" [보자기포장] ""더 예뻐지는 선물"" 슈퍼콜라겐 에센스 20입+비타민 2주","49,500원",health,바이탈뷰티 슈퍼콜라겐 에센스,,건강기능식품,"아모레퍼시픽,한국",,25gx20앰플,"AP콜라겐효소분해펩타이드(젤라틴(어린(베트남산))), 셀레늄혼합제제(아셀렌산나트륨, 덱스트린), 비오틴, 정제수, 자일리톨, 레몬농축액(이스라엘산), 프락토올리고당, 망고농축액(망고(이스라엘산)), 자몽향(주정, 정제수, 천연향료, 합성향료, 프로필렌글리콜), 망고향(프로필렌글리콜, 파인애플향베이스(주정, 정제수, 천연향료, 합성향료), 주정, 망고향베이스(프로필렌글리콜, 합성향료), 합성향료), 구연산, 비타민C, 구연산삼나트륨, 스테비올배당체, 젖산칼슘, 요구르트향(에탄올, 요구르트향(주정, 프로필렌글리콜, 정제수, 요구르트향키베이스)), 젤란검, 자몽농축분말(자몽농축고형분(이스라엘산)), DL-사과산, 엘라스틴펩타이드, 히알루론산(덱스트린, 히알루론산), 밀크세라마이드, 녹차다당체분말 우유함유",,해당사항 없음,해당사항 없음,해당사항 없음,"080-030-5454(수신자 요금부담) 운영시간 : 09:00 ~ 18:00 (점심시간 제외, 12~13시) (주말, 공휴일 제외)",,,,,,,,,,,,,,,제조일로부터 18개월,,,,피부 보습에 도움을 줄 수 있음,"성인 1일 1회, 1회 1앰플(25ml)을 흔들어 섭취하세요. 피부 충전 시간인 매일 저녁, 피부 관리 시간에 섭취해보세요.","[1일 섭취량 기준] 열량 10kcal, 탄수화물 2g(1%), 단백질 1g(2%), 지방 0g(0%), 나트륨 5mg (0%), Gly-Pro-Hyp 30mg, 셀렌 55ug (100%), 비오틴 150ug (500%)",본 제품은 질병의 예방 및 치료를 위한 의약품이 아닙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,"""하루 끝 휴밍 시작"" CODE9 휴밍 저주파 목안마기 무선 목어깨 마사지기","34,900원",health,,,,,,,,,,,,,CODE9 휴밍 목안마기,,,,CODE9,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,상품상세설명 참조,070-7467-7706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
