,name,price,type,품명 및 모델명,"법에 의한 인증, 허가 등을 받았음을 확인할 수 있는 경우 그에 대한 사항",제조사,제조국,A/S 책임자와 전화번호 또는 소비자상담 관련 전화번호,종류,소재,치수,취급시 주의사항,품질보증기준,A/S 책임자,제품 소재,색상,제품구성,세탁방법/취급시 주의사항,제품명,"수입품의 경우 생산자, 수입자 및 제조국",식품의 유형,제조업소의 명칭과 소재지,"제조연월일(포장일 또는 생산연도), 유통기한 ","포장단위별 내용물의 용량(중량), 수량",원재료명 및 함량,영양성분,유전자 변형 식품의 경우 표시,소비자 안전을 위한 주의사항,수입식품인 경우 “수입식품안전관리특별법에 따른 수입신고를 필함”의 문구,소비자 상담 관련 전화번호,발행자,유효기간,교환권 공급자,이용조건,이용 가능 매장,환불조건 및 방법,소비자상담 관련 전화번호,품목 또는 명칭,"포장단위별 내용물의 용량(중량), 수량, 크기",생산자,농수산물의 원산지 표시에 관한 법률에 따른 원산지,"제조연월일(포장일 또는 생산연도), 유통기한",관련법상 표시사항,상품구성,보관방법 또는 취급방법,크기,제조연월,품목 및 제품명,용도 및 제형,제조연월 및 유통기한,"중량, 용량, 매수","효과,효능",제조국 및 제조사,어린이 보호포장 대상 제품 유무,제품에 사용된 화학물질 명칭,사용상 주의사항,신고번호 또는 승인번호,재질,사용연령 또는 체중범위,출시년월,"취급방법 및 취급시 주의사항, 안전표시 (주의, 경고 등)","크기, 중량",KC 인증 필 유무,정격전압/소비전력,"크기,무게",주요 사양,에너지소비효율등급,냉난방면적,추가설치비용,구성품,수입식품안전관리특별법에 따른 수입신고
90,[루이까또즈] 따뜻한 베이비울 머플러 앤덴 솔리드 (SA-2UMW240) (프리미엄 캐시미어 머플러 투데이 [SA-2UMC323]),"47,200원",touched,,,나경에스에이,상품상세설명 참조,,울 캐시미어 머플러,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,품질보증기준에 따름,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"[감성/집들이선물] ""불멍 풀세트"" 수퍼블릭 실내용 애타는램프SET (램프+에탄올+점화기)","33,900원",touched,TT-15,해당없음,"Xingpuwang Lighting CO.,LTD / 수퍼블릭",중국,텐바이텐 고객행복센터 1644-6035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,진짜 귀여운 곰돌이 퍼 머플러 6종 모음전,"7,900원",touched,,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,카카오프렌즈 라이언&춘식이 이글루 무드등 가습기 500ml,"29,900원",touched,WI20-HUMIDF,,주식회사 더블유아이,중국,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021.01.26,,,상품상세설명 참조,5V-1A,상품상세설명 참조,상품상세설명 참조,,,,,
94,[선물하기에서만]사계절필수템 물세탁OK!전자파NO! 이메텍 히팅패드 전기방석 IHP-888,"39,800원",touched,이메텍 히팅패드 IHP-888,,Zhejiang Lumeng Health &amp; Technology Co.LTd. / 게이트비젼주식회사,상품상세설명 참조,,,,,,공정거래위원회 고시(소비자분쟁해결기준)에 의거하여 보상해 드립니다.,고객센터 / 031-906-1543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 * 350 mm / 약1.8kg,,,,,,,,,,,,,,2021년 09월 이후,,,SU072475-20001A / R-R-734-R6701,"220~240V , 50~60Hz / 15W(최대110W)",,,해당없음,400 * 350 mm,없음,,
95,"양키캔들 향초 미니워머 선물세트 (타이머, 국내산, 밝기조절)","35,700원",touched,,,,,,,,,,,,,,,,,,,,,,,,,,,캔들조이 02-2292-2581,,,,,,,,,,,,,,,,,,초/양키캔들 향초,방향용/연소형,"별도표기(핑크히비스커스: 2020년 1월), 해당사항없음",상품상세설명 참조,상품상세설명 참조,"체코,미국/양키캔들컴퍼니(제이앤에스트레이딩)",미해당,상품상세설명 참조,상품상세설명 참조,"EB20-26-0494, G-A09B-S00020001-A170",,,,,,,,,,,,,,
96,"""안아주라냥"" 고양이 몰캉몰캉 스트레스해소 마약쿠션 (톡별)","15,900원",touched,,,제이에스컴퍼니,대한민국,,,,"38(가로) x 30(세로) x 18(높이)cm, 오차±3cm",,상품 수령일로부터 7일 이내,(주)오비유,"[겉] 100% 극세사 모찌원단, [속] 마이크로화이바 솜","연그레이, 연핑크",본품,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"""집에서 만끽하는 제주의 향기"" 귤 요루면 파자마&세안밴드 세트(2type)(톡별)","28,900원",touched,,,쥬니쥬 협력업체,의류 : 중국 / 세안밴드 : 중국 / 더스트백 : 한국,,,,의류 : free size / 세안밴드 : 가로16cm 세로19cm / 부직포 : 가로34cm 세로43cm,,공정거래 위원회가 고시하는 소비자 분쟁 해결 기준에 따라 보상 가능합니다.,상품상세설명 참조,의류 : 면 / 세안밴드 : 수면 / 더스트백 : 부직포,의류 : 오렌지 / 세안밴드 : 베이지 / 더스트백 : 베이지,,세탁망에 넣어 울코스 단독세탁 권장합니다 / 건조기 사용은 강한 수축 및 원단 손상이 발생할 수 있으므로 권장하지 않습니다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022년 6월 이후 제조,,,,,,,,,,,,,,,,,,,,,,,,
98,"""불멍하며 보내는 나만의 휴식"" 불타는 무드등 G형 불멍 집들이선물 생일선물 인테리어","34,800원",touched,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,[경복궁] 마음을 전하는 선물세트 (한우불고기+궁중본갈비+궁중소갈비찜+양념불고기),"109,000원",touched,,,,,,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,제조일로 부터 12개월,상품상세설명 참조,상품 설명 참고,해당사항 없음,해당사항 없음,상품상세설명 참조,해당사항 없음,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,[경복궁] 체력 보강 선물세트 (사골고기도가니탕+영양갈비탕+양곰탕),"35,900원",touched,,,,,,,,,,,,,,,,상품상세설명 참조,해당 사항 없음,식육추출가공품/비살균제품,상품상세설명 참조,"제조일 : 순차출고제품으로 상이함으로 고객센터 문의 바랍니다., 유통기한 : 제조일로부터 1년",상품상세설명 참조,상품상세설명 참조,해당 사항 없음,해당 사항 없음,"1. 본 제품은 냉동식품으로 제품 수령 후 즉시 냉동보관 하시길 바랍니다. 2. 이미 냉동된 바 있으니 해동 후 재냉동 시키지 마시길 바랍니다. 3. 개봉 한 제품은 반드시 밀봉 후 냉장 보관 하시고 가급적 빨리 드시기 바랍니다. 4. 이 제품은 알레르기 유발 물질인 대두, 밀, 돼지고기, 닭고기, 우유, 새우, 게, 오징어, 조개류(바지락, 굴, 홍합)를 사용한 제품과 같은 제조시설에서 제조하고 있습니다. 5. 한우뼈추출액에 들어가는 한우소고기는 추출하는 과정에 사용되므로 제품의 내용물에서 확인되지는 않습니다.  6. 본 제품은 공정거래위원회 고시 소비자 분쟁해결 기준에 의거, 교환 또는 보상 받으실 수 있습니다.  7. 부정· 불량식품 신고는 국번없이 1399",해당 사항 없음,1644-8647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"아프다고 굶지마요, 본죽 14종+장조림 set (총 7팩/10팩)","19,900원",touched,,,,,,,,,,,,,,,,"아프다고 굶지마요, 본죽 14종+장조림 set (총 7팩/10팩)",동방푸드마스타 / 농업회사법인 올레㈜,즉석조리식품(레토르트식품) / 조림류(멸균제품),(주)동방푸드마스타(충북 음성군 대소면 대금로 105번길 70) / 농업회사법인 올레㈜(경기도 양주시 장흥면 권율로29번길 115-82),제조일로부터 1년 / 제조일로부터 9개월,상세페이지 참조,"미니장조림: 본장조림소스[정제수,양조간장{탈지대두(외국산:인도산,미국산,중국산)},야채엑기스{육수농축액(소고기:호주산)},설탕,생강,복합조미식품],쇠고기(호주산) /  전복죽 : 정제수, 멥쌀(국산), 전복(외국산:필리핀, 말레이시아, 인도네시아 등), 찹쌀(국산), 생미분, 양파, 표고버섯(국산), 바지락엑기스, 새송이버섯, 마늘, 참기름, 정제소금, 기타가공품, 효모추출물, 향미증진제 /  쇠고기죽: 정제수, 멥쌀(국산), 쇠고기(호주산), 양파(국산), 찹쌀(국산), 생미분, 표고버섯, 우지(호주산), 당근(국산), 부추(국산), 애호박(국산), 참기름, 정제소금, L-글루탐산나트륨(향미증진제), 소고기엑기스, 마늘(국산), 사골추출물, 기타가공품 /  보양삼계죽: 정제수, 닭고기(국산), 멥쌀(국산), 치킨맛육수베이스{닭뼈(국산), 치킨엑기스(계육 : 국산)}, 찹쌀(국산), 양파, 생미분, 당근, 대파, 사골추출액, 마늘, 치킨팻(인도네시아산), 인삼(국산), 기타가공품 /  낙지김치죽: 정제수, 김치{절임배추(배추 : 국산), 무(국산), 다시마육수, 고춧가루(중국산), 밀가루풀}, 멥쌀(국산), 콩나물(국산), 낙지(베트남산), 찹쌀(국산), 김치엑기스, 대파, 생미분, 설탕, 마늘, 동치미농축액, 야채풍미농출액, 복합조미식품, 소스, 고춧가루, 향미증진제, 기타가공품, 식물성분해단백, 파프리카추출색소, 효모추출물, 호박산이나트륨 / 단호박죽 : 정제수,스팀단호박(단호박100% : 중국산), 단호박페이스트(단호박 100% : 중국산), 설탕, 생미분(국산), 혼합분유, 정제소금 /  통단팥죽 : 정제수, 팥(중국산), 설탕, 덱스트린, 생미분(국산), 혼합제제(변성전분, 덱스트린), 정제소금(국산), 복합조미식품, 기타가공품, 잔탄검, 메틸셀룰로오스 / 전복죽 : 정제수, 멥쌀(국산), 전복(외국산:필리핀, 말레이시아, 인도네시아 등), 찹쌀(국산), 생미분, 양파, 표고버섯(국산), 바지락엑기스, 새송이버섯, 마늘, 참기름, 정제소금, 기타가공품, 효모추출물, 향미증진제 /  쇠고기죽 : 정제수, 멥쌀(국산), 쇠고기(호주산), 양파(국산), 찹쌀(국산), 생미분, 표고버섯, 우지(호주산), 당근(국산), 부추(국산), 애호박(국산), 참기름, 정제소금, L-글루탐산나트륨(향민증진제), 소고기엑기스, 마늘(국산), 사골추출물, 기타가공품 /  보양삼계죽 : 정제수, 닭고기(국산), 멥쌀(국산), 치킨맛육수베이스{닭뼈(국산), 정제소금(국산)}, 찹쌀(국산), 양파, 생미분, 당근, 대파, 사골추출액, 마늘, 치킨팻(인도네시아산), 인삼(국산), 기타가공품 / 단호박죽 : 정제수, 스팀단호박(단호박100% : 중국산), 단호박페이스트(단호박100% : 중국산), 설탕, 생미분(국산), 혼합분유, 정제소금 /  화끈짬뽕죽 : 정제수, 쌀(국산), 문어(필리핀산), 당근(국산), 배추(국산), 대파, 찹쌀, 콩기름, 마늘, 생이분, 양파, 오징어추출페이스트, 고추씨기름, 홍합엑기스, 홍청양고추농축액, 홍고추, 치킨맛육수베이스, 양념다대기, L-글루탐산나트륨(향미증진제), 소스, 복합조미식품, 정제소금, 효모추출물, 기타가공품, 파프리카추출색소, 크러쉬드레드페퍼, 고춧가루, 향미증진제, 호박산이나트륨 /  미역죽 : 정제수, 멥쌀(국산), 쇠고기(호주산), 찹쌀(국산), 사골추출물, 생미분, 마늘, 염장미역(미역:국산), 참기름, L-글루탐산나트륨(향미증진제), 콩발효맛내기진, 기타가공품, 향미증진제","미니장조림: 열량65kcal,나트륨630mg,탄수화물5g,당류6g,콜레스테롤140mg,지방1g트랜스지방0g,포화지방0.6g,단백질7g /  전복죽: 열량95kcal,나트륨400mg(20%),탄수화물17g(5%),당류0g(0%),콜레스테롤5mg(2%),지방1.8g(3%),트랜스지방0g,포화지방0g(0%),단백질3g(5%) /  쇠고기죽: 열량135kcal,나트륨410mg(21%),탄수화물18g(6%),당류0g(0%),콜레스테롤10mg(3%),지방4.9g(9%),트랜스지방0g,포화지방1.7g(11%),단백질5g(9%) /  보양삼계죽: 열량125kcal,나트륨430mg(22%),탄수화물18g(6%),당류0g(0%),콜레스테롤20mg(7%),지방0.8g(5%),트랜스지방0g,포화지방0.8g(5%),단백질7g(13%) /  낙지김치죽: 열량120kcal,나트륨620mg(31%),탄수화물23g(7%),당류3g(3%),콜레스테롤20mg(7%),지방0.7g(1%),트랜스지방0g,포화지방0g(0%),단백질5g(9%) / 단호박죽 : 열량135kcal,나트륨300mg(15%),탄수화물30g(9%),당류17g(17%),콜레스테롤0mg(0%),지방0.9g(2%),트랜스지방0g,포화지방0g(0%),단백질2g(4%) / 통단팥죽 : 열량190kcal,나트륨280mg(14%),탄수화물40g(12%),당류11g(11%),콜레스테롤0mg(0%),지방0g(0%),트랜스지방0g,포화지방0g(0%),단백질7g(13%) / 전복죽 : 열량165kcal,나트륨660mg(33%),탄수화물29g(9%),당류0g(0%),콜레스테롤10mg(3%),지방3g(6%),트랜스지방0g,포화지방0.6g(4%),단백질5g(9%) / 쇠고기죽 : 열량220kcal,나트륨670mg(34%),탄수화물29g(9%),당류0g(0%),콜레스테롤15mg(5%),지방8g(15%),트랜스지방1g미만,포화지방2.8g(19%),단백질8g(15%) / 보양삼계죽 : 열량205kcal,나트륨700mg(35%),탄수화물29g(9%),당류1g미만(1%),콜레스테롤30mg(10%),지방4.5g(8%),트랜스지방0g,포화지방1.3g(9%),단백질12g(22%) / 단호박죽 : 열량225kcal,나트륨500mg(25%),탄수화물50g(15%),당류27g(27%),콜레스테롤0mg(0%),지방1.5g(3%),트랜스지방0g,포화지방0.7g(5%),단백질3g(5%) /  화끈짬뽕죽 : 열량275kcal, 나트륨690mg(35%), 탄수화물31g(10%), 당류3g(3%), 콜레스테롤50mg(17%), 지방13g(24%), 트랜스지방0g, 포화지방2.2g(15%), 단백질8g(15%) / 미역죽 : 열량190kcal,나트륨790mg(40%),탄수화물30g(9%),당류0g(0%),콜레스테롤10mg(3%),지방4g(7%),트랜스지방0g,포화지방1.2g(8%),단백질8g(15%)",해당사항 없음,포장지가 날카로우니 개봉 및 섭취 시 주의하시기 바랍니다.,해당사항 없음,1588-6219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,[경복궁] 불고기 갈비 혼합 선물세트 (양념불고기600g+칼집LA갈비600g),"45,000원",touched,,,,,,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,제조일로 부터 12개월,상품상세설명 참조,상품 설명 참고,해당사항 없음,해당사항 없음,상품상세설명 참조,해당사항 없음,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,양키캔들 자캔들 소 모자이크 자쉐이드 선물세트 (쇼핑백),"15,800원",touched,,,,,,,,,,,,,,,,,,,,,,,,,,,상품상세설명 참조,,,,,,,,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,
104,"""안사면후회 꿀템추천"" 알로코리아 충전식 휴대용 손난로 보조배터리 5000mAh 양면발열 전기핫팩 (WM501)","20,700원",touched,충전식 손난로 WM501,,알로코리아,상품상세설명 참조,,,,,,상품컨텐츠 하단 안내 참조,알로코리아 / 02-761-3096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019.10,,,YU101051-19001 / R-R-OLA-WM501,5V-2A,"99 X 59 X 26mm , 139g",상품컨텐츠참조,,,,,
105,"""행운이 붙는다"" 찹쌀떡 쿠션 모찌모찌 필로우 멀티베개","29,900원",touched,,,상품상세설명 참조,상품상세설명 참조,,,,"측정 위치, 재는 도구에 따라 1~3cm 오차범위",,상품상세설명 참조,AS 불가,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,"""불멍 감성"" 유니영 LED 사무실 미니 모닥불 가습기","17,900원",touched,유니영 모닥불 가습기 UNH200F,,대원,중국,,,,,,구매후 1년 무상 AS,1599-5981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180x80x123,,,,,,,,,,,,,,2022.09,,,R-R-YHY-UNH200F,해당사항없음,,,해당사항없음,해당사항없음,해당사항없음,,
107,"""센스있는 향기선물"" 데일리 캔들워머+소이캔들 650ml 세트(할로겐 전구 포함)","43,900원",touched,데일리캔들워머+캔들650ml세트,상품상세설명 참조,(주)스탠다드컴퍼니 (주식회사 피앤더블유인터네셔널),데일리 캔들워머: 중국 / 소이캔들 650ml: 대한민국,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,[닥스] LONG 남녀공용 체크 울/캐시혼방 롱 라이트 머플러 3종 택1,"99,900원",touched,,,LF / 해당없음,상품상세설명 참조,,머플러,상품상세설명 참조,상품상세설명 참조,1.본 제품은 드라이크리닝만 가능합니다. (물세탁 불가) 2.단추나 액세서리는 세탁 시 손상될 수 있으므로 은박지에 싸거나 분리하여 주십시오. 3.마찰에 의해 보푸라기가 발생될 수 있으므로 착용 후 가볍게 손질하여 주십시오. * 세탁시 물이 빠질 수 있으므로 다른 제품과 분리하여 단독 세탁 바랍니다.,구매일로부터 6개월간/ 그 외 기준은 관련법 및 소비자분쟁해결 규정에 따름,070-7571-5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,집순이들을 위한 입는 거북이 등껍질 쿠션,"26,900원",touched,집순이들을 위한 입는 거북이 등 껍질 쿠션,해당없음,(주)바나나코퍼레이션,중국,1644-7299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"""매일 입고 싶은"" 울랄라 겨울 신상 베스트 파자마 모음","34,900원",touched,,,상품상세설명 참조,상품상세설명 참조,,,,상품상세설명 참조,,전자상거래법률의거,김진미 | 02-2233-8809 | | pis9353@naver.com,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,
111,"""홈카페/집들이 선물"" 라이프썸 샌드위치&와플 메이커 풀세트 (LFS-HA44) 2종 택1","19,900원",touched,라이프썸 와플 메이커 (LFS-HA44) 오트밀,,CIXI YUNFAN,중국 OEM,,,,,,"구매 후 6개월 이내 무상 a/s, 교환 가능",1661-2730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24x14x9.3cm, 0.97kg",,,,,,,,,,,,,,상세페이지 참고,,,유,상세페이지 참고,,,상세페이지 참고,,,,
112,[1+1]클래식체크머플러 하나사면 곱창한개더/겨울머플러,"8,900원",touched,,,더문,중국OEM,,머플러,아크릴 폴리에스터,80*170cm,단독세탁 올빠짐주의,전자상거래법에 따름,더문 1661-4086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,"""부모님선물"" 현미온미 허리 배 찜질팩 (벨트형)","38,300원",touched,현미온미 찜질팩,해당없음,현미온미,대한민국,현미온미 1899-1778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,"""생일에눈"" (만족도100%) 휴플러스 코드제로 눈마사지기 CORDZERO-EL1 온열안대 안마기 선물","29,900원",touched,"눈마사지기 CORDZERO-EL1, EL2",,"(주)해피룸, (주)해피룸",중국 OEM,,,,,,1년 무상 (소모품 및 고객과실 시 제외될 수 있음),해피룸 070-4485-9603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,박스규격 202*132*95cm,,,,,,,,,,,,,,2022.03,,,인증 필 (상세페이지 참고),"DC 5V 1A, 4.5W",,,해당사항 없음,,,,
115,[3+3] 폴인 허브 온열 복부 핫팩 찜질팩 패치 여자친구 선물,"15,500원",touched,일양약품 폴인허브찜질팩,KC인증(B681D001-4002CH)/(B681D001-4003CH),위니스트,상품상세설명 참조,카카오톡 고객센터 1544-2431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,"""발끝에 따뜻함 "" 단미 발난로 전기난로 히터 사무실 발난로 (발난로 FEH01)","49,800원",touched,FEH01,,단미,중국,,,,,,구매일로부터 1년 이내,단미 고객센터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336x220x285mm,,,,,,,,,,,,,,2020.12,,,Y,상품상세설명 참조,,,해당사항없음,해당사항없음,없음,,
117,"""따듯한 오둥이입니다만"" New 오둥이 극세사 부들부들 보들 대형 담요 (톡별)","15,900원",touched,,,상품상세설명 참조,상품상세설명 참조,,,,상품상세설명 참조,,본 제품은 공정거래위원회 고시 소비자 분쟁해결기준에 의거 교환 및 보상을 받으실 수 있습니다. / 제품 수령일로 부터 7일 이내,잇츠유어프라임타임 고객센터 070-8804-2345,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,"""필터4개 증정"" 미니 초음파 사무실 차량 무선 신생아 휴대용 가습기 Duwater 듀워터","34,900원",touched,휴대용 가습기 Duwater,,(주)판다인터내셔널,CHINA,,,,,,제품 이상시 공정거래위원회 고시 소비자분쟁해결기준에 의거 보상합니다.,1666-0575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021.11,,,전기용품 및 생활용품 안전관리법에 따른 KC인증 대상,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,
119,[디스커버리] 픽시버G 튜브 구스다운 여성 경량패딩 5종 택1,"169,000원",touched,,,㈜에프앤에프,미얀마,,,,"85,90,95,100,105",,관련법 및 소비자 분쟁해결기준에 따름,F&amp;F 080-820-8802,겉감 1 : 폴리에스터 100% 겉감 2 : 폴리에스터 97% 겉감 2 : 폴리우레탄 3% 주머니감 : 폴리에스터 100% 충전재 : 솜털 80% 충전재 : 깃털 3%,"BES,BKS,CRS,GRS,PKN",,"제품의 특성상 고열, 마찰 등으로 인해 파손될 수 있으니 드라이세탁 및 기계건조를 하지마십시오.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022.03,,,,,,,,,,,,,,,,,,,,,,,,
120,"""따뜻한 겨울"" 두꺼운 양털담요 150X200 대형 극세사 밍크 양모블랭킷 [+기프트백]","20,900원",touched,,,착한컴퍼니,중국,,,,150cm x 200cm,,상세내용참조,주식회사 착한컴퍼니 0507-1318-3012,고급 극세사 / 폴리에스테르,"그레이,네이비,카멜베이지,크림화이트,민트스카이,핑크",담요카드&amp;리본포장&amp;프리미엄 양털담요,담요세탁방법 TIP. 극세사 상품은 드라이크리닝을 하시는 것을 강력하게 추천해드립니다 ! 1. 미온수 손세탁을 권장해드립니다 ! 2. 세탁기 사용시 그물망과 중성세제를 사용부탁드리겠습니다 ! 3. 강하게 탈수할 경우 제품의 변형을 초래할 수 있으니 주의해주세요 !,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,"""집순이선물"" 밍크담요+수면양말+슬리퍼 8종택1+빼빼로 증정 (톡별)","19,900원",touched,,,(주)다원물산,상품상세설명 참조,,,,상세페이지 참고,,관련법 및 소비자 분쟁해결 기준에 따름,(주)다원물산 1588-5939,상세페이지 참고,상세페이지 참고,상세페이지 참고,상세페이지 참고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,[셀럽 착용] 대왕 오리 기모 파자마 (슬리퍼 증정),"29,900원",touched,대왕 오리 기모 파자마 (슬리퍼 증정),해당없음,(주)바나나코퍼레이션,중국,1644-7299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,"""선물로 좋아요"" 포그니 알파카 바디필로우 80cm 2종택1 (톡별)","29,900원",touched,,,(주)한빛아이티씨/(주)한빛아이티씨,중국,,,,31*80cm,,"구입후 7일이내 반품가능, 상품의 하자의경우 1개월이내 교환반품가능/ 세탁한 경우 교환반품 어려울수 있음/",031-8028-8800 한빛아이티씨,겉면: 폴리에스터 70% 비스코스(레이온) 30%   충전재: 폴리에스터 100%   입/귀: 폴리에스터 100%   주머니안감: 폴리에스터 100%,"핑크, 베이지",쿠션바디필로우 1개,30도 이하의 미지근한 물에서 분리하여 손세탁/표백제염색제 금지/ 기계건조 금지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,[한정특가] 코지베어 먼지없는 이불베개 침구세트(SS/Q균일가) 외 16종택1,"29,900원",touched,,,(주) 비비월드,대한민국,,,,상품상세설명 참조,,공정거래위원회 고시(소비자분쟁해결기준)에 의거하여 보상,(주)비비월드 1661-3036,세미 마이크로 폴리에스터 100%,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,"""스몰 럭셔리"" [선물포장]델픽 시그니처 티백 (4종 중 택1)","28,000원",touched,,,,,,,,,,,,,,,,[선물포장]델픽 시그니처 티백 (4종 중 택1),델픽,침출차,델픽,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"전복에 내 마음 가득 담아, 본죽 전복죽+쇠고기 장조림set","35,000원",touched,,,,,,,,,,,,,,,,"전복에 내 마음 가득 담아, 본죽 전복죽+쇠고기 장조림set",동방푸드마스타 / 농업회사법인 올레㈜,즉석조리식품(레토르트식품) / 조림류(멸균제품),(주)동방푸드마스타(충북 음성군 대소면 대금로 105번길 70) / 농업회사법인 올레㈜(경기도 양주시 장흥면 권율로29번길 115-82),제조일 : 상시 제조 제품으로 유통기한 상이함으로 고객센터(1588-6219) 문의 바랍니다. / 유통기한 : 제조일로부터 12개월,상세페이지 참조,"전복죽 : 정제수, 멥쌀(국산), 전복(외국산:필리핀, 말레이시아, 인도네시아 등), 찹쌀(국산), 생미분, 양파, 표고버섯(국산), 바지락엑기스, 새송이버섯, 마늘, 참기름, 정제소금, 기타가공품, 효모추출물, 향미증진제 / 미니장조림: 본장조림소스[정제수,양조간장{탈지대두(외국산:인도산,미국산,중국산)},야채엑기스{육수농축액(소고기:호주산)},설탕,생강,복합조미식품],쇠고기(호주산)","전복죽: 열량95kcal,나트륨400mg(20%),탄수화물17g(5%),당류0g(0%),콜레스테롤5mg(2%),지방1.8g(3%),트랜스지방0g,포화지방0g(0%),단백질3g(5%) / 미니장조림: 열량65kcal,나트륨630mg,탄수화물5g,당류6g,콜레스테롤140mg,지방1g트랜스지방0g,포화지방0.6g,단백질7g",해당사항 없음,포장지가 날카로우니 개봉 및 섭취 시 주의하시기 바랍니다.,해당사항 없음,1588-6219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
